Categoria;Nome;Prezzo;Allergeni;Ingredienti
PIZZE SPECIALI;SICILIANA;10.50;1,7,12;impasto classico, fiordilatte, salsiccia, taleggio, melanzane, datterini speziati
PIZZE SPECIALI;REGINA DEL SUD;11.50;1,7,8,12;impasto schiacciata, salsa di pistacchio, datterini speziati/crema pomodorino giallo, crudo di Parma, stracciatella 
PIZZE SPECIALI;MALBORGHETTO;11.00;1,7;impasto al carbone, fiordilatte, mortadella, radicchio, taleggio
PIZZE SPECIALI;FRANCOLINO;11.00;1,3,7;impasto classico, pomodoro, mozzarella, pancetta, uovo, pepe, scaglie di grana
PIZZE SPECIALI;PONTEGRADELLA;11.00;1,3,7;impasto classico, pomodoro, mozzarella, asparagi, scaglie di grana, uovo, crema di tartufo
PIZZE SPECIALI;MIC BON;13.50;1;impasto classico, crema di porro, pancetta, datterini speziati, grana, aceto balsamico
PIZZE SPECIALI;PULLED PORK;13.50;1,7;impasto classico, pomodoro, scamorza, patate al rosmarino, pulled pork, cipolla caramellata, salsa yogurt
PIZZE SPECIALI;REGINA MADRE;13.50;1,7;impasto classico, crema di carciofi, radicchio, scamorza, zucchine fritte/grigliate, scaglie di grana
PIZZE SPECIALI;TARALLINA;13.50;1,4,7;impasto classico, scamorza affumicata, acciughe del cantabrico, aglio, prezzemolo, taralli sbriciolati
PIZZE SPECIALI;PORRO;13.50;1,7,12;impasto classico, crema di porro, salsiccia, fiordilatte, datterini speziati, grana, glassa di aceto balsamico
